contract_number,s3_full_path,account_name,doc_type,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,parent_contract,solution_line,account_type,sharepoint_document_url,document_title,related_product,matched_client,matched_pattern,file_name
63506,s3://ml-legal-restricted/contract-docs/63506/42968_Aetna- Eliza Corporation-Medicaid Illinicare Welcome  SOW 001 (11966).pdf,Aetna Life Insurance Company,SOW,Fully-Executed/Complete,Aetna - Medicaid Illinicare Welcome SOW 001 080720 (CI CID 11966),Dynamics SVC,Dynamics SVC,2021-11-29 19:50:50,2020-08-07,63460,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/63506/42968_Aetna- Eliza Corporation-Medicaid Illinicare Welcome  SOW 001 (11966).pdf,STATEMENT OF WORK NUMBER 001 Medicaid Illinicare Welcome Program,Eliza Standard,Aetna,\baetna\b,42968_Aetna- Eliza Corporation-Medicaid Illinicare Welcome  SOW 001 (11966).pdf
59927,s3://ml-legal-restricted/contract-docs/59927/Highmark - Cotiviti - Work Order 2 - SC - 08072020 - Dynamics_59927.pdf,Highmark Blue Cross Blue Shield,Work Order / Change Request,Fully-Executed/Complete,WO 2 to MSA 1 (Highmark Telehealth Package),shannon childs,Saloni Choudhry,2020-07-30 02:07:34,2020-08-07,6266,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59927/Highmark - Cotiviti - Work Order 2 - SC - 08072020 - Dynamics_59927.pdf,"Work Order #2 To Verisk Health, Inc. Software License Agreement",Quality Intelligence,Highmark,\bhighmark\b,Highmark - Cotiviti - Work Order 2 - SC - 08072020 - Dynamics_59927.pdf
60001,s3://ml-legal-restricted/contract-docs/60001/Anthem_Episode Based Payment_NDA - Mutual (clean).docx.pdf,"Anthem, Inc (WellPoint, Inc.)",NDA,Fully-Executed/Complete,Anthem - Performance Analytics (Episode Based Payments),Steven Taylor,ihtech Simko,2020-08-04 10:50:10,2020-08-06,,Performance Analytics,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/60001/Anthem_Episode Based Payment_NDA - Mutual (clean).docx.pdf,MUTUAL NON-DISCLOSURE AGREEMENT,Medical Intelligence,Anthem/Elevance,\b(anthem|elevance)\b,Anthem_Episode Based Payment_NDA - Mutual (clean).docx.pdf
64194,s3://ml-legal-restricted/contract-docs/64194/41376_SIGNED_AMERIGROUP Corporation - CO3 to SOW431 - 3977 - 8_4_2020.pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem - CO3 to SOW431 080520 (CI CID 11956),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:34,2020-08-05,70310,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64194/41376_SIGNED_AMERIGROUP Corporation - CO3 to SOW431 - 3977 - 8_4_2020.pdf,Change Order 3 to Statement of Work Number 431,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41376_SIGNED_AMERIGROUP Corporation - CO3 to SOW431 - 3977 - 8_4_2020.pdf
60034,s3://ml-legal-restricted/contract-docs/60034/Aetna Life Insurance Company - Cotiviti - Letter - JK - 0862020 - Dynamics 60034.pdf,Aetna Life Insurance Company,Letter,Fully-Executed/Complete,Aenta - Cotiviti Covid-19 Second Offshore Client Letter,Lori Walsh,Jeffrey Koslowski,2020-08-06 17:43:55,2020-08-05,55235,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/60034/Aetna Life Insurance Company - Cotiviti - Letter - JK - 0862020 - Dynamics 60034.pdf,Update to Cotiviti’s Offshore Workforce During Covid-19,Payment Policy Management,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - Letter - JK - 0862020 - Dynamics 60034.pdf
64193,s3://ml-legal-restricted/contract-docs/64193/41316_SIGNED_Anthem - Engage & Transfer Program - SOW758 (11825).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,[ELEVANCE]- Commercial- Engage & Transfer SOW758 080420 (CI CID 11825),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:32,2020-08-04,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64193/41316_SIGNED_Anthem - Engage & Transfer Program - SOW758 (11825).pdf,STATEMENT OF WORK NUMBER 758 ANTHEM - ENGAGE & TRANSFER PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41316_SIGNED_Anthem - Engage & Transfer Program - SOW758 (11825).pdf
64192,s3://ml-legal-restricted/contract-docs/64192/41254_SIGNED_SIGNED_Anthem CE - Call Volume Reduction- Service Approval Inernvention SMS Program - SOW763 (11894).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - Call Volume Reduction SOW763 080320 (CI CID 11894),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:31,2020-08-03,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64192/41254_SIGNED_SIGNED_Anthem CE - Call Volume Reduction- Service Approval Inernvention SMS Program - SOW763 (11894).pdf,STATEMENT OF WORK NUMBER 763 ANTHEM CE – CALL VOLUME REDUCTION: SERVICE APPROVAL INTERVENTION SMS PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41254_SIGNED_SIGNED_Anthem CE - Call Volume Reduction- Service Approval Inernvention SMS Program - SOW763 (11894).pdf
64191,s3://ml-legal-restricted/contract-docs/64191/41256_SIGNED_Anthem CE - Call Volume Reduction- PCP Reassignment SMS Program - SOW764  (11893).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - Call Volume Reduction SOW764 080320 (CI CID 11893),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:30,2020-08-03,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64191/41256_SIGNED_Anthem CE - Call Volume Reduction- PCP Reassignment SMS Program - SOW764  (11893).pdf,STATEMENT OF WORK NUMBER 764 ANTHEM CE – CALL VOLUME REDUCTION: PCP REASSIGNEMENT SMS PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41256_SIGNED_Anthem CE - Call Volume Reduction- PCP Reassignment SMS Program - SOW764  (11893).pdf
64190,s3://ml-legal-restricted/contract-docs/64190/41258_SIGNED_Anthem CE - Call Volume Reduction- Out of Network Doctor SMS Program - SOW762 (11892).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - Call Volume Reduction SOW762 080320 (CI CID 11892),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:29,2020-08-03,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64190/41258_SIGNED_Anthem CE - Call Volume Reduction- Out of Network Doctor SMS Program - SOW762 (11892).pdf,STATEMENT OF WORK NUMBER 762 ANTHEM CE – CALL VOLUME REDUCTION: OUT OF NETWORK DOCTOR SMS PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41258_SIGNED_Anthem CE - Call Volume Reduction- Out of Network Doctor SMS Program - SOW762 (11892).pdf
64189,s3://ml-legal-restricted/contract-docs/64189/41260_SIGNED_Anthem CE - Call Volume Reduction- Other Health Insurance SMS Program - SOW761 (11890).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - Call Volume Reduction SOW761 080320 (CI CID 11890),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:28,2020-08-03,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64189/41260_SIGNED_Anthem CE - Call Volume Reduction- Other Health Insurance SMS Program - SOW761 (11890).pdf,STATEMENT OF WORK NUMBER 761 ANTHEM CE – CALL VOLUME REDUCTION: OTHER HEALTH INSURANCE SMS PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,41260_SIGNED_Anthem CE - Call Volume Reduction- Other Health Insurance SMS Program - SOW761 (11890).pdf
59896,s3://ml-legal-restricted/contract-docs/59896/Anthem - Cotiviti - Amendment 06 - DS - Dynamics_59896.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Anthem: Payment RCA Expansion (Missouri),Steven Taylor,ihtech Simko,2020-07-27 17:14:26,2020-07-31,55948,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59896/Anthem - Cotiviti - Amendment 06 - DS - Dynamics_59896.pdf,"AMENDMENT #6 TO THE MASTER SERVICES AGREEMENT BETWEEN ANTHEM, INC. AND COTIVITI, INC",RCA,Anthem/Elevance,\b(anthem|elevance)\b,Anthem - Cotiviti - Amendment 06 - DS - Dynamics_59896.pdf
65783,s3://ml-legal-restricted/contract-docs/65783/42815_UHC - SOW 200 Medicaid Flu 081820 (11920).pdf,United HealthCare Services,SOW,Fully-Executed/Complete,UHC - SOW 200 Medicaid Flu 081820 (CI CID 11920),Dynamics SVC,Dynamics SVC,2021-11-29 20:42:41,2020-07-30,65699,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/65783/42815_UHC - SOW 200 Medicaid Flu 081820 (11920).pdf,STATEMENT OF WORK NUMBER 200 UNITED – MEDICARE FLU PROGRAM,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,42815_UHC - SOW 200 Medicaid Flu 081820 (11920).pdf
64188,"s3://ml-legal-restricted/contract-docs/64188/41053_SIGNED_Anthem CE - TN Social Needs Tool IVR, SMS & Email Program - SOW760 (11842).pdf","Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,"Anthem - TN Social Needs Tool IVE, SMS & Email SOW760 72930 (CI CID 11842)",Dynamics SVC,Dynamics SVC,2021-11-29 20:06:26,2020-07-29,55948,Population Health Management,Client,"https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64188/41053_SIGNED_Anthem CE - TN Social Needs Tool IVR, SMS & Email Program - SOW760 (11842).pdf","STATEMENT OF WORK NUMBER 760 ANTHEM CE – TN SOCIAL NEEDS TOOL IVR, SMS & EMAIL PROGRAM",Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,"41053_SIGNED_Anthem CE - TN Social Needs Tool IVR, SMS & Email Program - SOW760 (11842).pdf"
65773,s3://ml-legal-restricted/contract-docs/65773/40961_UHC TN Attestation Personnel (CERP 3076431) 072820 (11884).pdf,United HealthCare Services,Attestation,Fully-Executed/Complete,UHC TN Attestation Personnel (CERP 3076431) 072820 (CI CID 11884),Dynamics SVC,Dynamics SVC,2021-11-29 20:42:29,2020-07-28,65699,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/65773/40961_UHC TN Attestation Personnel (CERP 3076431) 072820 (11884).pdf,ATTESTATION RE PERSONNEL USED IN CONTRACT PERFORMANCE,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,40961_UHC TN Attestation Personnel (CERP 3076431) 072820 (11884).pdf
64187,s3://ml-legal-restricted/contract-docs/64187/40911_SIGNED_Anthem CE - WI TNQ Outreach - Childless Adults IVR Program - SOW759 (11841).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - WI TNQ Outreach - Childless Adults IVR SOW759 072720 (CI CID 11841),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:25,2020-07-27,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64187/40911_SIGNED_Anthem CE - WI TNQ Outreach - Childless Adults IVR Program - SOW759 (11841).pdf,STATEMENT OF WORK NUMBER 759 ANTHEM CE – WI TNQ OUTREACH – CHILDLESS ADULTS IVR PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40911_SIGNED_Anthem CE - WI TNQ Outreach - Childless Adults IVR Program - SOW759 (11841).pdf
64186,s3://ml-legal-restricted/contract-docs/64186/40906_SIGNED_Anthem CE - MD Maternity Enrollment Program - SOW757 (11824).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - MD Maternity Enrollment SOW757 072720 (CI CID 11824),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:23,2020-07-27,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64186/40906_SIGNED_Anthem CE - MD Maternity Enrollment Program - SOW757 (11824).pdf,STATEMENT OF WORK NUMBER 757 ANTHEM CE – MD MATERNITY ENROLLMENT PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40906_SIGNED_Anthem CE - MD Maternity Enrollment Program - SOW757 (11824).pdf
64185,"s3://ml-legal-restricted/contract-docs/64185/40825_SIGNED_11851-WellPoint, Inc. - CO13 to SOW273 - 3948 - 7_22_2020.pdf","Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem - CO13 to SOW273 072320 (CI CID 11851),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:22,2020-07-23,70301,Population Health Management,Client,"https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64185/40825_SIGNED_11851-WellPoint, Inc. - CO13 to SOW273 - 3948 - 7_22_2020.pdf",Change Order 13 to Statement of Work Number 273,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,"40825_SIGNED_11851-WellPoint, Inc. - CO13 to SOW273 - 3948 - 7_22_2020.pdf"
59529,s3://ml-legal-restricted/contract-docs/59529/BCBSTN - Cotiviti - Work Order 1 - SC - 07232020 - Dynamics_59529.pdf,Blue Cross Blue Shield of Tennessee,Work Order / Change Request,Fully-Executed/Complete,WO 1 to MSA 2 (Shared Health),Kev Smith,Saloni Choudhry,2020-06-04 18:11:45,2020-07-23,8370,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59529/BCBSTN - Cotiviti - Work Order 1 - SC - 07232020 - Dynamics_59529.pdf,Work Order #1 To Master Services Agreement,Quality Intelligence,BCBSTN,\b(blue\s*cross\s*blue\s*shield\s*of\s*tennessee|bcbstn)\b,BCBSTN - Cotiviti - Work Order 1 - SC - 07232020 - Dynamics_59529.pdf
64727,s3://ml-legal-restricted/contract-docs/64727/40734_SIGNED_Centene LA CO3 to SOW 3 - 3914 Reinstate and Auto-Renew 072020 (11649).pdf,Centene Corporation,Work Order / Change Request,Fully-Executed/Complete,Centene LA CO3 to SOW 3 - 3914 Reinstate and Auto-Renew 072120 (CI CID 11649),Dynamics SVC,Dynamics SVC,2021-11-29 20:17:53,2020-07-21,66856,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64727/40734_SIGNED_Centene LA CO3 to SOW 3 - 3914 Reinstate and Auto-Renew 072020 (11649).pdf,Change Order 3 to SOW 3,Eliza Standard,Centene,\bcentene\b,40734_SIGNED_Centene LA CO3 to SOW 3 - 3914 Reinstate and Auto-Renew 072020 (11649).pdf
59695,"s3://ml-legal-restricted/contract-docs/59695/Humana, Inc - Cotiviti - Work Order 1 - SL - 07212020 - Dynamics_59695.pdf",Humana,Work Order / Change Request,Fully-Executed/Complete,Humana - Risk - Provider Letter Mailings,Matt Collins,Sarah Lowdon,2020-06-24 23:50:19,2020-07-21,54312,Risk Adjustment,Client,"https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59695/Humana, Inc - Cotiviti - Work Order 1 - SL - 07212020 - Dynamics_59695.pdf",Work Order #1 To Schedule 014 for Retrieval Services,RA - Medical Record Retrieval,Humana,\bhumana\b,"Humana, Inc - Cotiviti - Work Order 1 - SL - 07212020 - Dynamics_59695.pdf"
59404,s3://ml-legal-restricted/contract-docs/59404/Blue Cross and Blue Shield of Louisiana - Cotiviti - Amendment 1 - DS - 07202020 - Dynamics 59404.pdf,Blue Cross and Blue Shield of Louisiana,Amendment,Fully-Executed/Complete,BCBS LA - AMD 1 to SOW2 (2020 DxCG Renewal),Jay Dupras,ihtech Simko,2020-05-20 13:00:00,2020-07-21,36672,Performance Analytics,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59404/Blue Cross and Blue Shield of Louisiana - Cotiviti - Amendment 1 - DS - 07202020 - Dynamics 59404.pdf,Amendment No. 1 to the DxCG INTELLIGENCE LICENSE STATEMENT OF WORK NO. 2,DxCG,BCBSLA,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*louisiana|bcbsla)\b,Blue Cross and Blue Shield of Louisiana - Cotiviti - Amendment 1 - DS - 07202020 - Dynamics 59404.pdf
64406,s3://ml-legal-restricted/contract-docs/64406/40681_SIGNED_AMERIGROUP Corporation - CO2 to SOW520 (11794).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO2 to SOW 520 072020 (CI CID 11794),Dynamics SVC,Dynamics SVC,2021-11-29 20:10:47,2020-07-20,70328,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64406/40681_SIGNED_AMERIGROUP Corporation - CO2 to SOW520 (11794).pdf,Change Order 2 to Statement of Work Number 520,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40681_SIGNED_AMERIGROUP Corporation - CO2 to SOW520 (11794).pdf
64184,s3://ml-legal-restricted/contract-docs/64184/40693_SIGNED_CO9 to SOW353_RHILTRCARE_script updates_3HIX States_TMedit.pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem - CO9 to SOW353 072020 (CI CID 11730),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:21,2020-07-20,67235,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64184/40693_SIGNED_CO9 to SOW353_RHILTRCARE_script updates_3HIX States_TMedit.pdf,Change Order 9 to Statement of Work Number 353,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40693_SIGNED_CO9 to SOW353_RHILTRCARE_script updates_3HIX States_TMedit.pdf
64183,s3://ml-legal-restricted/contract-docs/64183/40687_SIGNED_AMERIGROUP Corporation - CO3 to SOW534 (11797).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO3 to SOW 534 072020 (CI CID 11797),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:20,2020-07-20,63628,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64183/40687_SIGNED_AMERIGROUP Corporation - CO3 to SOW534 (11797).pdf,Change Order 3 to Statement of Work Number 534,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40687_SIGNED_AMERIGROUP Corporation - CO3 to SOW534 (11797).pdf
64182,s3://ml-legal-restricted/contract-docs/64182/40685_SIGNED_AMERIGROUP Corporation - CO1 to SOW633 (11796).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO1 to SOW 633 072020 (CI CID 11796),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:17,2020-07-20,63836,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64182/40685_SIGNED_AMERIGROUP Corporation - CO1 to SOW633 (11796).pdf,Change Order 1 to Statement of Work Number 633,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40685_SIGNED_AMERIGROUP Corporation - CO1 to SOW633 (11796).pdf
64181,s3://ml-legal-restricted/contract-docs/64181/40683_SIGNED_AMERIGROUP Corporation - CO2 to SOW430 (11795).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO2 to SOW 430 072020 (CI CID 11795),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:16,2020-07-20,,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64181/40683_SIGNED_AMERIGROUP Corporation - CO2 to SOW430 (11795).pdf,Change Order 2 to Statement of Work Number 430,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40683_SIGNED_AMERIGROUP Corporation - CO2 to SOW430 (11795).pdf
64180,s3://ml-legal-restricted/contract-docs/64180/40679_SIGNED_AMERIGROUP Corporation - CO2 to SOW535 (11793).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO2 to SOW 535 072020 (CI CID 11793),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:15,2020-07-20,63629,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64180/40679_SIGNED_AMERIGROUP Corporation - CO2 to SOW535 (11793).pdf,Change Order 2 to Statement of Work Number 535,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40679_SIGNED_AMERIGROUP Corporation - CO2 to SOW535 (11793).pdf
64179,s3://ml-legal-restricted/contract-docs/64179/40677_SIGNED_AMERIGROUP Corporation - CO2 to 536 (11792).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO2 to SOW 536 072020 (CI CID 11792),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:13,2020-07-20,63627,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64179/40677_SIGNED_AMERIGROUP Corporation - CO2 to 536 (11792).pdf,Change Order 2 to Statement of Work Number 536,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40677_SIGNED_AMERIGROUP Corporation - CO2 to 536 (11792).pdf
64178,s3://ml-legal-restricted/contract-docs/64178/40673_SIGNED_AMERIGROUP Corporation - CO3 to SOW477 (11791).pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem CO3 to SOW 477 072020 (CI CID 11791),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:11,2020-07-20,,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64178/40673_SIGNED_AMERIGROUP Corporation - CO3 to SOW477 (11791).pdf,Change Order 3 to Statement of Work Number 477,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40673_SIGNED_AMERIGROUP Corporation - CO3 to SOW477 (11791).pdf
64177,s3://ml-legal-restricted/contract-docs/64177/40675_SIGNED_11790 Anthem CE - MD COVID-19 Testing Email Program - SOW756 - 7.13.20.pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - MD COVID-19 Testing Email SOW756 072020 (CI CID 11790),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:10,2020-07-20,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64177/40675_SIGNED_11790 Anthem CE - MD COVID-19 Testing Email Program - SOW756 - 7.13.20.pdf,STATEMENT OF WORK NUMBER 756 ANTHEM CE – MD COVID-19 TESTING EMAIL PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40675_SIGNED_11790 Anthem CE - MD COVID-19 Testing Email Program - SOW756 - 7.13.20.pdf
65781,s3://ml-legal-restricted/contract-docs/65781/42813_UHC - SOW 196 Emergency Response and Refill Program 071720 (11830).pdf,United HealthCare Services,SOW,Fully-Executed/Complete,UHC - SOW 196 Emergency Response and Refill Program 071720 (CI CID 11830),Dynamics SVC,Dynamics SVC,2021-11-29 20:42:39,2020-07-17,65699,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/65781/42813_UHC - SOW 196 Emergency Response and Refill Program 071720 (11830).pdf,STATEMENT OF WORK NUMBER 196 UNITED – EMERGENCY RESPONSE AND REFILL PROGRAM,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,42813_UHC - SOW 196 Emergency Response and Refill Program 071720 (11830).pdf
59240,s3://ml-legal-restricted/contract-docs/59240/Aetna - Cotiviti - Amendment 5 - SL - 08312020 - Dynamics_59240.pdf,Aetna Life Insurance Company,Amendment,Fully-Executed/Complete,Aetna - Cotiviti - Sentinel AMD5 to SCH11,Tony Potts,Sarah Lowdon,2020-04-26 19:45:26,2020-07-10,16116,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59240/Aetna - Cotiviti - Amendment 5 - SL - 08312020 - Dynamics_59240.pdf,Amendment No. 5 to Schedule No. 011 to the Master Busines,RA - Medical Record Retrieval,Aetna,\baetna\b,Aetna - Cotiviti - Amendment 5 - SL - 08312020 - Dynamics_59240.pdf
64176,s3://ml-legal-restricted/contract-docs/64176/40182_Anthem AIM Specialty Health SOW 620 070820.pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,[ELEVANCE-ANTHEM]-AIM-SOW 620- AIM Specialty Health 070820 (CI CID 9212),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:09,2020-07-08,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64176/40182_Anthem AIM Specialty Health SOW 620 070820.pdf,ANTHEM – AIM SPECIALTY HEALTH PROVIDER AND MEMBER DETERMINATION NOTIFICATION PROGRAM STATEMENT OF WORK NUMBER 620,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40182_Anthem AIM Specialty Health SOW 620 070820.pdf
64175,s3://ml-legal-restricted/contract-docs/64175/40084_SIGNED_AMERIGROUP Corporation - CO1 to SOW728 - 3923 - 7_6_2020.pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Anthem - CO1 to SOW728 070720 (CI CID 11736),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:07,2020-07-07,64096,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64175/40084_SIGNED_AMERIGROUP Corporation - CO1 to SOW728 - 3923 - 7_6_2020.pdf,Change Order 1 to Statement of Work Number 728,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40084_SIGNED_AMERIGROUP Corporation - CO1 to SOW728 - 3923 - 7_6_2020.pdf
64174,s3://ml-legal-restricted/contract-docs/64174/40068_SIGNED_Anthem CE - MD Renewal Email Follow Up Program - SOW754 (11701).pdf,"Anthem, Inc (WellPoint, Inc.)",SOW,Fully-Executed/Complete,Anthem - MD Renewal Email Follow Up SOW754 070720 (CI CID 11701),Dynamics SVC,Dynamics SVC,2021-11-29 20:06:06,2020-07-07,55948,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/64174/40068_SIGNED_Anthem CE - MD Renewal Email Follow Up Program - SOW754 (11701).pdf,STATEMENT OF WORK NUMBER 754 ANTHEM CE – MD RENEWAL EMAIL FOLLOW UP PROGRAM,Eliza Standard,Anthem/Elevance,\b(anthem|elevance)\b,40068_SIGNED_Anthem CE - MD Renewal Email Follow Up Program - SOW754 (11701).pdf
59677,s3://ml-legal-restricted/contract-docs/59677/Highmark-Cotiviti-Amendment-SL-07072020-Dynamics_ 59677.pdf,Highmark Blue Cross Blue Shield,Amendment,Fully-Executed/Complete,HMK AMD 1 to MRR SOW,shannon childs,Sarah Lowdon,2020-06-23 01:56:23,2020-07-07,51431,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59677/Highmark-Cotiviti-Amendment-SL-07072020-Dynamics_ 59677.pdf,Amendment #1,RA - Medical Record Retrieval,Highmark,\bhighmark\b,Highmark-Cotiviti-Amendment-SL-07072020-Dynamics_ 59677.pdf
